ID,Name of Business,Short Description,Address,City,State,Postcode,Phone Number,Which type of business is this?,Business Website or Other URL,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
820,"Mediamorphosis Advertising & Technology, Inc.",Advertising Agency,35-37 36th Street,Astoria,NY,11106,(718) 472-3700,Service,http://mediamorphosisinc.com,QUEENS   ,40.755622,-73.925003,1,26,57,4009599,4006400004,Astoria                                                                    
1279,Family Deli,Deli,1422 WilliamsbridgeRoad,Bronx,NY,10461,,Food and Beverage,,,,,,,,,,
822,Manasa Yoga,Yoga Studio,2880 West 12th Street,Brooklyn,NY,11224,(646) 780-9642,Service,http://www.manasayoganyc.com/,BROOKLYN ,40.577347,-73.979625,13,47,350,3196559,3072660060,West Brighton                                                              
823,Sisters Caribbean Cuisine,Caribbean and Soul Food Restaurant,47 east 124th street,New York,NY,10035,(212) 410-3000,Food and Beverage,https://m.facebook.com/SistersCaribbeanCuisine/,MANHATTAN,40.804921,-73.940797,11,9,198,1054006,1017490021,East Harlem North                                                          
824,Salsa Salsa dance studio,"""A great dance studio for teaching students of all levels salsa dance""",55 4th Avenue,Brooklyn,NY,,,Service,http://www.salsasalsadancestudio.com/,,,,,,,,,
825,Greenlight Bookstore,Book store,632 Flatbush Ave Brooklyn,Brooklyn,NY,11225,(718) 246-0200,Retail,http://www.greenlightbookstore.com/,BROOKLYN ,40.657866,-73.960394,9,40,79802,3114633,3050260185,Prospect Lefferts Gardens-Wingate                                          
826,Locked - Escape Rooms NYC,Escape Rooms,22-56 31st Street,Astoria,NY,11105,(718) 274-9700,Other,http://www.escapelocked.com,QUEENS   ,40.774999,-73.912095,1,22,115,4017623,4008440060,Steinway                                                                   
827,King of Falafel & Shawarma,Middle Eastern Halal Food,30-15 Broadway,Astoria,NY,11106,(718) 340-8068,Food and Beverage,http://kofnyc.com,QUEENS   ,40.762262,-73.925981,1,22,61,4007511,4005890002,Astoria                                                                    
828,Phoenix Roze,Hand made fine jewelry,21 8th Avenue,New York,NY,10014,(212) 255-2362,Retail,https://www.facebook.com/phoenixrozeny/,MANHATTAN,40.737869,-74.004485,2,3,77,1011439,1006250039,West Village                                                               
829,Topos Bookstore Cafe,Used bookstore and cafe,788 Woodward Ave,Ridgewood,NY,11385,(347) 927-5680,Retail,http://www.toposbookstore.com,QUEENS   ,40.703736,-73.903735,5,34,551,4083037,4034710035,Ridgewood                                                                  
830,Alex's MVP Cards and Comics,Baseball card and comic book shop,1577 York Avenue,New York,NY,10028,(212) 831-2273,Retail,https://m.facebook.com/AlexsMVPCardsAndComics,MANHATTAN,40.774373,-73.948273,8,5,136,1050466,1015630028,Yorkville                                                                  
831,Bread and Yoga,"Yoga studio, community gathering space",5000 Broadway,New York,NY,10034,(212) 569-4112,Service,http://www.breadandyoga.com,MANHATTAN,40.868536,-73.918407,12,10,303,1064874,1022300001,Marble Hill-Inwood                                                         
832,Good Wine,Wine Shop,327 5th Avenue,Brooklyn,NY,11215,(718) 499-2392,Retail,http://goodwine.nyc,BROOKLYN ,40.672515,-73.983507,6,39,135,3021063,3009820006,Park Slope-Gowanus                                                         
880,Ideal Barber Shop,Barber shop,253-07 Union Tpke,Glen Oaks,NY,11004,(718) 347-9676,Service,,QUEENS   ,40.744145,-73.717424,13,23,155102,4173980,4085090075,Glen Oaks-Floral Park-New Hyde Park                                        
833,Myths of Creation,"""Women's clothing boutique with a spiritual flare (candles, oils, sage, scents)""",421 Graham Avenue,Brooklyn,NY,11211,,Retail,http://mythsofcreation.com/,BROOKLYN ,40.71763,-73.944904,1,34,497,3338069,3027390026,East Williamsburg                                                          
834,Washington Bagel Cafe,Bagel cafe and deli,621 Washington Avenue,Brooklyn,NY,11238,(718) 230-3734,Food and Beverage,https://www.facebook.com/pages/Washington-Bagel-Cafe/120427547973221,BROOKLYN ,40.678974,-73.963983,8,35,203,3027958,3011400006,Prospect Heights                                                           
835,Karma Kids Yoga,"""NYC's only yoga studio dedicated to kids and families!""",25 West 23rd Street 3rd floor,New York,NY,10010,(646) 638-1444,Service,http://www.karmakidsyoga.com/,MANHATTAN,40.741994,-73.990606,5,3,58,1015581,1008250028,Hudson Yards-Chelsea-Flatiron-Union Square                                 
836,Sky Blue Dry Cleaning and Tailoring,Dry cleaners and tailoring,341 St. Nicholas Ave,New York,NY,10027,(917) 232-5083,Service,https://www.facebook.com/skybluecleaners,MANHATTAN,40.81209,-73.951437,9,9,21303,1059391,1019540050,Manhattanville                                                             
837,The Love Cafe,"""A treasure - best coffee, waffle, omellete, homefries & salads! Chat with Pat!""",283 Pleasant Avenue,New York,NY,10029,(212) 369-6916,Food and Beverage,http://www.thelovecafeny.com/,MANHATTAN,40.794537,-73.933547,11,8,178,1079396,1017090021,East Harlem North                                                          
838,NiLu Gift Shop,"Boutique gifts by local artists, books, toys, soaps, totes, home furnishings""",191 Lenox Avenue,New York,NY,10026,(646) 964-4926,Retail,https://www.facebook.com/shopNilu/?fref=ts&ref=br_tf,MANHATTAN,40.804318,-73.948022,10,9,220,1057558,1019040033,Central Harlem South                                                       
839,James Weir Florist,"""Local business selling plants & plant services with a helpful diverse staff""",155 Montague Street,Brooklyn,NY,11201,(718) 624-0270,Retail,http://www.jamesweirfloral.net/,BROOKLYN ,40.694518,-73.993271,2,33,502,3001983,3002430010,Brooklyn Heights-Cobble Hill                                               
840,Mimi Cheng's Dumplings,Healthy Chinese food,179 Second Avenue,New York,NY,10003,(212) 533-2007,Food and Beverage,http://www.mimichengs.com/eastvillage,MANHATTAN,40.730592,-73.986235,3,2,40,1006837,1004670035,East Village                                                               
841,Chatime Rego Park,Tea/Coffee Shop,97-11 64th Avenue,Rego Park,NY,11374,(646) 598-8832,Food and Beverage,https://www.mkt.com/chatimestation,QUEENS   ,40.729821,-73.860083,6,29,71701,4050458,4020900061,Rego Park                                                                  
842,Stories Bookshop + Storytelling Lab,Children's bookstore,458 Bergen Street,Brooklyn,NY,11217,(718) 369-1167,Service,http://storiesbk.com/,BROOKLYN ,40.68114,-73.976157,6,39,12902,3018590,3009330020,Park Slope-Gowanus                                                         
843,American Cheez,Local Bar,444 7th Avenue,Brooklyn,NY,11215,(347) 725-4665,Food and Beverage,https://www.facebook.com/americancheez/,BROOKLYN ,40.663155,-73.98471,7,39,149,3024023,3010490044,Park Slope-Gowanus                                                         
844,Joyce Davis MD,Medical Office,69 Fifth Avenue,New York,NY,10003,,Service,http://themanhattandermatologist.com/,MANHATTAN,40.736104,-73.993534,5,2,52,1016061,1008427501,Hudson Yards-Chelsea-Flatiron-Union Square                                 
845,Sal's Food Market,Meat Market,102-10 159th Road,Howard Beach,NY,11414,(718) 843-8233,Food and Beverage,http://salsfoodmarket.com/,QUEENS   ,40.659752,-73.830945,10,32,884,4295501,4141820088,Lindenwood-Howard Beach                                                    
846,Souk El-Shater,Middle Eastern food,43-03 Queens Blvd,Sunnyside,NY,11104,(917) 392-2702,Food and Beverage,https://www.facebook.com/Souk-El-Shater-219342458103898/,QUEENS   ,40.743474,-73.921324,2,26,183,4001924,4001620007,Hunters Point-Sunnyside-West Maspeth                                       
847,Scanlan Glass,Glassblowing and Design,499 Van Brunt Street,Red Hook,NY,11231,(718) 369-3645,Other,http://Www.scanlanglass.com,BROOKLYN ,40.67428,-74.016493,6,38,53,3390948,3006120001,Carroll Gardens-Columbia Street-Red Hook                                   
848,THe Brownstone Boutique,Women's Clothing Store,24 Est 125th Street,New York,NY,10035,,Retail,http://www.thebrownstonewoman.com,MANHATTAN,40.806058,-73.941432,11,9,198,1054012,1017490060,East Harlem North                                                          
849,Brooklyn Swirl,Yogurt and Juice Bar,445 Marcus Garvey Blvd,Brooklyn,NY,11216,(347) 915-1949,Food and Beverage,http://www.brooklynswirl.com/,BROOKLYN ,40.681862,-73.937809,3,36,273,3046787,3016690077,Stuyvesant Heights                                                         
850,3 Black Cats Cafe,Cafe,3 Belmont Avenue,Brooklyn,NY,11212,(347) 425-9494,Food and Beverage,http://3blackcatscafe.com/,BROOKLYN ,40.668454,-73.910217,16,41,906,3252309,3035220001,Brownsville                                                                
851,Le Paris Dakar,"Coffee, Tea, Baked Goods Shop",518 Nostrand Avenue,Brooklyn,NY,11216,(347) 955-4100,Food and Beverage,,BROOKLYN ,40.681181,-73.949747,3,36,245,3053009,3018430020,Bedford                                                                    
852,Pattie Hut & Grill,Caribbean Restaurant (take out),516 Nostrand Avenue,Brooklyn,NY,11216,(718) 622-7222,Food and Beverage,,BROOKLYN ,40.681236,-73.949758,3,36,245,3053009,3018430020,Bedford                                                                    
853,The Crabby Shack,Seafood Restaurant,613 Franklin Avenue,Brooklyn,NY,11238,(718) 484-1507,Food and Beverage,http://www.thecrabbyshack.com/,BROOKLYN ,40.677407,-73.955526,8,35,221,3030246,3012110009,Crown Heights North                                                        
854,Sisters Restaurant,New American Restaurant,900 Fulton Street,Brooklyn,NY,11238,(347) 763-2537,Food and Beverage,http://www.sistersbklyn.com/,BROOKLYN ,40.683111,-73.965156,2,35,199,3399792,3020120032,Clinton Hill                                                               
855,The Nail Boutique,Nail Salon,983 Fulton Street,Brooklyn,NY,11238,(347) 467-7648,Service,http://www.thenailboutiquenyc.com/,BROOKLYN ,40.682781,-73.963509,2,35,201,3056682,3019800001,Clinton Hill                                                               
857,Installation Brooklyn,Vintage Clothing Shop,433 Nostrand Avenue,Brooklyn,NY,11216,(917) 330-2199,Retail,https://www.instagram.com/installationbrooklyn/?hl=en,BROOKLYN ,40.682762,-73.950042,3,36,249,3338714,3018330087,Bedford                                                                    
858,Angela's,Caribbean sit down restaurant,417 Nostrand Avenue,Brooklyn,NY,11216,(718) 552-2297,Food and Beverage,http://www.angelasbrooklyn.com/,BROOKLYN ,40.68338,-73.950164,3,36,249,3051975,3018280092,Bedford                                                                    
859,Dirty Pierre's,Bar and bistro,13 Station Square,Forest Hills,NY,11375,,Food and Beverage,http://www.theotherplacefh.com/dirty-pierre-s.html,QUEENS   ,40.719177,-73.84504,6,29,737,4077443,4032330014,Forest Hills                                                               
860,Red Pipe,Coffee Shop,71-60 Austin Street,Forest Hills,NY,11375,,Food and Beverage,https://www.facebook.com/Redpipecafe/,QUEENS   ,40.71957,-73.84321,6,29,737,4077922,4032550033,Forest Hills                                                               
861,"American Environmental Assessment & Solutions, Inc.","Environmental Site & Subsurface Investigation, Contaminated Sites Remediation",679 Lafayette Avenue,Brooklyn,NY,11216,(718) 209-0653,Service,http://www.AEASinc.com,BROOKLYN ,40.690424,-73.946661,3,36,261,3340281,3017850161,Bedford                                                                    
862,Verrazano Vision,"""Best eyeglass shop in Bay Ridge - Excellent customer service""",8421 3rd Avenue,Brooklyn,NY,11209,(718) 491-2300,Service,http://www.verrazanovisionbk.com/,BROOKLYN ,40.624808,-74.030498,10,43,62,3152739,3060250002,Bay Ridge                                                                  
863,Bombay Tasty,"""Best Indian food in Bay Ridge - so delicious. Great place to go with friends""",8716 3rd Avenue,Brooklyn,NY,11209,(718) 491-2500,Food and Beverage,http://www.bombaytasty.com/,BROOKLYN ,40.622551,-74.031444,10,43,60,3153676,3060480037,Bay Ridge                                                                  
864,Taqueria El Punte,"""Most authentic Mexican Food in Bay Ridge - delicious. Get the guacamole!""",9300 5th Avenue,Brooklyn,NY,11209,,Food and Beverage,http://places.singleplatform.com/taqueria-el-puente/menu?ref=google,BROOKLYN ,40.61673,-74.030314,10,43,58,3155308,3061080001,Bay Ridge                                                                  
865,Cafe Via Espresso,"""Coffee, sandwiches, and much more""",24-09 Steinway Street,Astoria,NY,11105,(718) 545-3290,Food and Beverage,https://cafeviaespresso.netwaiter.com/astoria/,QUEENS   ,40.768688,-73.911063,1,22,141,4011504,4006860010,Astoria                                                                    
866,Espresso Pizza,"""Best pizza in Bay Ridge - Traditional slice like when you were a kid""",9403 5th Avenue,Brooklyn,NY,11209,(718) 833-8750,Food and Beverage,http://www.heyridge.com/2015/07/espresso-a-slice-of-pizza-with-nothing-to-prove/,BROOKLYN ,40.616384,-74.030598,10,43,162,3155644,3061180011,Bay Ridge                                                                  
867,Bagel Boy,"""Fantastic bagel shop in Bay Ridge/Best coffee & sandwiches - nicest people too""",8002 3rd Avenue,Brooklyn,NY,11209,(718) 748-0366,Food and Beverage,http://www.bagelboyonline.com/,BROOKLYN ,40.627715,-74.029332,10,43,64,3151244,3059870038,Bay Ridge                                                                  
868,Hunger Pang,New American-Asian,1021 Church Avenue,New York,NY,11218,(718) 552-2869,Food and Beverage,http://www.hungerpangnyc.com/,BROOKLYN ,40.646722,-73.970033,14,40,506,3116328,3050710040,Flatbush                                                                   
869,Champion Coffee,Coffee Shop,142 Nassau Avenue,Brooklyn,NY,11222,(718) 383-3251,Food and Beverage,http://www.championcoffee.net,BROOKLYN ,40.7248,-73.947655,1,33,571,3066880,3026830003,Greenpoint                                                                 
870,Circus Warehouse,Circus School,5321 Vernon Blvd,Long Island City,NY,11101-5901,,Other,http://circuswarehouse.com,,,,,,,,,
871,Chatime Rego Park,Tea/Coffee Shop,97-11 64th Avenue,Rego Park,NY,11374,(646) 598-8832,Food and Beverage,https://www.mkt.com/chatimestation,QUEENS   ,40.729821,-73.860083,6,29,71701,4050458,4020900061,Rego Park                                                                  
872,Care Dental,General Dentistry,1313 Nostrand Avenue,Brooklyn,NY,11226,(718) 826-0251,Service,,BROOKLYN ,40.654829,-73.949991,17,40,818,3107753,3048370011,Erasmus                                                                    
873,G's Coffee Shop,"""Fast, friendly great service!""",634 West 207 Street New york,New York,NY,,(212) 942-0679,Food and Beverage,http://www.gscoffeeshop.com/contact-us/,,,,,,,,,
874,Chelsea Craft Brewing Company,Microbrewery,463 East 173rd Street,Bronx,NY,10457,,Food and Beverage,http://chelseacraftbrewing.com/,BRONX    ,40.841778,-73.901638,3,15,165,2124550,2029060093,Claremont-Bathgate                                                         
875,Lucky's Famous Burgers,"""Upscale fast food serving burgers, fries and shakes""",370 W 52nd Street,New York,NY,10019,(212) 247-6717,Food and Beverage,http://www.luckysfamousburgers.com,MANHATTAN,40.764314,-73.987044,4,3,133,1078889,1010420061,Clinton                                                                    
876,Smartfix Repairs - Page Ave,Smartphoone repairs,95 Page Avenue,Staten Island,NY,10309,(718) 967-3202,Service,http://phonerepairstatenisland.com,STATEN IS,40.522028,-74.234993,3,51,226,5103545,5075780025,Charleston-Richmond Valley-Tottenville                                     
877,Smartfix Repairs,Phone repair shop,20 Bradley Avenue,Staten Island,NY,10314,(718) 967-3202,Service,http://www.phonerepairstatenisland.com,STATEN IS,40.61192,-74.132319,1,50,18901,5094816,5007280116,Westerleigh                                                                
878,Harlem Underground,Clothing Store since 1998,20 East 125th Street,Harlem,NY,10035,(212) 987-9385,Retail,https://www.harlemunderground.com,MANHATTAN,40.806102,-73.94154,11,9,198,1054013,1017490061,East Harlem North                                                          
879,You Should Be Dancing,Dance studio,412 8th Avenue,New York,NY,10001,(212) 244-0011,Service,http://YouShouldBeDancing.nyc,MANHATTAN,40.750033,-73.995023,5,3,101,1014349,1007800075,Midtown-Midtown South                                                      
881,Alpine Cinemas,Movie Theater,6817 5th Avenue,Brooklyn,NY,11220,(718) 748-4200,Other,https://www.alpinecinemas.com/,BROOKLYN ,40.633983,-74.020789,10,43,130,3145314,3058650003,Bay Ridge                                                                  
883,Navarro's Hardware,Hardware Store,9301 3rd Avenue,Brooklyn,NY,11209,(718) 836-9607,Retail,,BROOKLYN ,40.61879,-74.032959,10,43,58,3155244,3061070012,Bay Ridge                                                                  
884,Gentlemen's Quarters,Men's Clothing Store,9221 3rd Avenue,Brooklyn,NY,11209,(718) 745-8577,Retail,,BROOKLYN ,40.61921,-74.032786,10,43,58,3155095,3061030002,Bay Ridge                                                                  
885,The BookMark Shoppe,Book store,8415 3rd Avenue,Brooklyn,NY,11209,(718) 833-5115,Retail,http://www.bookmarkshoppe.com/,BROOKLYN ,40.624838,-74.030487,10,43,62,3152741,3060250004,Bay Ridge                                                                  
886,Harbor Fitness,Gym,9215 4th Avenue,Brooklyn,NY,11209,(718) 238-9400,Service,http://www.harborfitness.com/,BROOKLYN ,40.617959,-74.030318,10,43,58,3155317,3061080017,Bay Ridge                                                                  
887,Darn Donuts,Donut Shop,8723 4th Avenue,Brooklyn,NY,11209,(718) 833-6300,Food and Beverage,https://www.facebook.com/pg/darndonuts/about/?ref=page_internal,BROOKLYN ,40.621372,-74.028926,10,43,160,3153750,3060500003,Bay Ridge                                                                  
888,Hom,"""Retail + Food""",8810 3rd Avenue,Brooklyn,NY,11209,(718) 238-4466,Retail,http://www.thehomstore.com/,BROOKLYN ,40.621901,-74.03171,10,43,60,3154018,3060610039,Bay Ridge                                                                  
889,Rocco Bay Ridge,Family owned and operated since 1974,9402 4th Avenue,Brooklyn,NY,11209,(718) 745-2590,"Food and Beverage, ",https://roccos.nyc/,BROOKLYN ,40.616581,-74.03089,10,43,54,3155495,3061140032,Bay Ridge                                                                  
890,Delia's Lounge and Restaurant,Restaurant/Bar,9224 3rd Avenue,Brooklyn,NY,11209,(718) 745-7999,Food and Beverage,http://www.deliaslounge.com/,BROOKLYN ,40.618785,-74.032984,10,43,58,3155075,3061020047,Bay Ridge                                                                  
891,Deliso Confections Artisan Chocolate & Candy,"They make delicious chocolate and specialty chocolates for all the holidays""",278 87th Street,Brooklyn,NY,11209,(718) 567-7600,Retail,http://www.delisoconfections.com,BROOKLYN ,40.622834,-74.031841,10,43,60,3153670,3060480031,Bay Ridge                                                                  
892,Baya Bowls,Great shop to get a refreshing fruit shake or acai bowl.,9417 3rd Avenue,Brooklyn,NY,11209,(718) 213-4702,Food and Beverage,http://www.bayabowlsbrooklyn.com/,BROOKLYN ,40.617766,-74.033373,10,43,54,3155472,3061140001,Bay Ridge                                                                  
893,The Coop,"""Great shop for coffee & a bite to eat, Relaxed atmosphere,wifi & good events""",9504 4th Avenue,Brooklyn,NY,11209,(718) 680-0269,Food and Beverage,http://thecoop.nyc,BROOKLYN ,40.615846,-74.031153,10,43,54,3155634,3061170132,Bay Ridge                                                                  
894,The Wicked Monk,"""Great place to have brunch in Bay Ridge""",9510 3rd Avenue,Brooklyn,NY,11209,(347) 497-5152,Food and Beverage,http://www.wickedmonk.com/,BROOKLYN ,40.617086,-74.033678,10,43,54,3155558,3061160032,Bay Ridge                                                                  
895,Elia,"""Best place to have a romantic dinner in Bay Ridge""",8611 3rd Avenue,Brooklyn,NY,11209,(718) 748-9891,Food and Beverage,http://eliarestaurant.com,BROOKLYN ,40.623298,-74.031117,10,43,60,3153461,3060440006,Bay Ridge                                                                  
896,The Family Store,"""Best place  in Bay Ridge to pick up fresh healthy food for dinner""",6905 3rd Avenue,Brooklyn,NY,11209,(718) 748-0207,Food and Beverage,http://familystorecooks.com/,BROOKLYN ,40.635582,-74.026089,10,43,68,3145670,3058720010,Bay Ridge                                                                  
897,A.L.C. Italian Grocery,"""Great Italian food, sandwiches, salad and something to take home for dinner""",8613 3rd Avenue,Brooklyn,NY,11209,(718) 836-3200,Food and Beverage,http://alcitaliangrocery.com/,BROOKLYN ,40.623287,-74.03112,10,43,60,3153460,3060440005,Bay Ridge                                                                  
898,Soft Swerve,Soft serve,85B Allen Street,New York,NY,10002,,Food and Beverage,http://www.softswervenyc.com,MANHATTAN,40.718054,-73.990981,3,1,18,1005436,1004130014,Chinatown                                                                  
899,City Brewshop LLC,"""Beer hobby retail and service shop""",700 Washington Avenue,Brooklyn,NY,11238,,Retail,http://www.bitterandesters.com,BROOKLYN ,40.677036,-73.963631,8,35,205,3028563,3011530036,Prospect Heights                                                           
900,Musee Lingerie,Lingerie store,119 Christopher Street,New York,NY,10014,,Retail,http://www.museelingerie.com,MANHATTAN,40.733216,-74.00547,2,3,73,1011150,1006190045,West Village                                                               
901,East Coast Burgers,Burgers in Ridgewood,53-21 Metropolitan Avenue,Ridgewood,NY,11385,,Food and Beverage,http://EastCoastBurgers.com,QUEENS   ,40.7133,-73.912375,5,30,535,4437509,4026340050,Maspeth                                                                    
902,The Bija Project,Preschool,900 Fulton Street,Brooklyn,NY,11238,,Service,http://www.bijakids.com,BROOKLYN ,40.683111,-73.965156,2,35,199,3399792,3020120032,Clinton Hill                                                               
903,Manhattan Bridge Orthodontics,Orthodontists,145 Canal St,New York,NY,10002, (212) 274-0477,Service,http://www.ManhattanBridgeOrtho.com,MANHATTAN,40.716408,-73.995678,3,1,16,1003902,1003030004,Chinatown                                                                  
904,"Occupational Therapy & Social Work Associates, PLLC","""Specialized sensory gym and therapy clinic""",353 East 78th Street,New York,NY,10075,212-288-1450,Service,http://www.theraplaynyc.com,MANHATTAN,40.77212,-73.954257,8,5,134,1045251,1014530021,Lenox Hill-Roosevelt Island                                                
905,Frasko Deli,Deli,2450 Amsterdam Avenue,New York,NY,10033,(646) 590-1568,Food and Beverage,http://fraskodeli.net/,MANHATTAN,40.848611,-73.93054,12,10,269,1063700,1021550019,Washington Heights North                                                   
906,Humo Smokehouse,,336 Myrtle Avenue,Brooklyn,NY,11205,,Food and Beverage,https://m.facebook.com/Humo-Smokehouse-1421061478129529/,BROOKLYN ,40.693244,-73.973012,2,35,183,3058292,3020720029,Fort Greene                                                                
907,Tac N Roll LLC,,124 East 4th Street,New York,NY,10003,(212) 353-0800,Food and Beverage,http://www.tacnroll.com,MANHATTAN,40.725522,-73.987856,3,2,38,1006174,1004450028,East Village                                                               
908,Butter Lane,Bakery,123 East 7th Street,New York,NY,10013,(212) 677-2880,Food and Beverage,http://www.butterlane.com,MANHATTAN,40.726414,-73.984374,3,2,32,1005847,1004350041,East Village                                                               
909,The Gesture Group,Entertainment agency,315 Hudson Street,New York,NY,10013,,Service,https://www.facebook.com/TheGestureGroup/,MANHATTAN,40.72631,-74.00749,2,3,37,1010362,1005970012,SoHo-TriBeCa-Civic Center-Little Italy                                     
910,"ECOvation General Contractors, Incorporated",General contractors,303 Beverly Road,Brooklyn,NY,11218,,Service,,BROOKLYN ,40.642974,-73.977169,12,39,488,3124635,3053360082,Kensington-Ocean Parkway                                                   
911,Bedelia,,23 E 10TH ST,New York,NY,10003,,Service,http://bedelia.co,MANHATTAN,40.732588,-73.993458,2,2,61,1082677,1005620001,West Village                                                               
912,Children's Garden Daycare,Childcare Center,1135 Belmont Avenue,Brooklyn,NY,11208,(347) 787-0538,Service,,BROOKLYN ,40.674789,-73.867131,5,42,1200,3095203,3042370035,East New York                                                              
913,Sonny's Hero's,"""Best Deli in Brooklyn""",1031 East 92nd Street,Brooklyn,NY,11236,(718) 485-9810,Food and Beverage,https://www.facebook.com/Sonnys-Heros-120944667921024/,BROOKLYN ,40.643851,-73.90781,18,46,964,3229213,3081610036,Canarsie                                                                   
914,Madison Square Dentistry,Dentist,1158 Broadway ,New York,NY,10001,(212) 213-4029,Service,http://www.Madisonsquaredentistry.com,MANHATTAN,40.744645,-73.988838,5,2,58,1080699,1008290030,Hudson Yards-Chelsea-Flatiron-Union Square                                 
915,Articulating Body I LLC,Acupuncture clinic/ pilates studio,153 West 27th Street,New York,NY,11415,(917) 673-9792,Service,http://www.articulatingbody.com,,,,,,,,,
916,Rocco and Jezebel,Pet Store and Grooming,89 Pineapple Walk,Brooklyn,NY,11201,(718) 855-8686,Retail,http://www.roccoandjezebel.com,BROOKLYN ,40.697993,-73.992236,2,33,1,3339176,3002170001,Brooklyn Heights-Cobble Hill                                               
917,New York Dog House Kitchen & Bar,"""Amazing hot dogs, burgers, wings, and drinks. Lovely outdoor dining area!""",37-06 30th Avenue,Queens,NY,11103,(718) 274-3647,Food and Beverage,http://www.newyorkdoghouse.com,QUEENS   ,40.764564,-73.916441,1,22,63,4010620,4006590144,Astoria                                                                    
918,Coffeed,Coffee Shop,37-18 Northern Blvd,Long Island City,NY,11101,,Food and Beverage,http://www.coffeednyc.com,QUEENS   ,40.752096,-73.925887,1,26,171,4003103,4002140040,Hunters Point-Sunnyside-West Maspeth                                       
919,cityWell brooklyn,"""A boutique bathhouse: a modern revival of an ancient healing art""",496 President Street,Brooklyn,NY,11215,(347) 294-0100,Service,http://citywellbrooklyn.com/,BROOKLYN ,40.67804,-73.98674,6,39,119,3007487,3004470021,Park Slope-Gowanus                                                         
920,Retro Pizza Caffe,Pizzeria,4102 Broadway Avenue,Astoria,NY,11103,(347) 612-4460,Food and Beverage,http://www.retropizzacafeastoria.com/,QUEENS   ,40.758524,-73.918062,1,26,159,4011090,4006770135,Astoria                                                                    
921,Knot and Bow,"""Brooklyn-based gift and party supplies company""",253 3rd Avenue,Brooklyn,NY,11215,(718) 855-5393,Retail,http://www.knotandbow.com/,BROOKLYN ,40.678197,-73.985518,6,39,119,3007359,3004410007,Park Slope-Gowanus                                                         
922,Takumen,Japanese café and restaurant,5-50 50th Street,Long Island City,NY,11101,(718) 361-7973,Food and Beverage,http://Takumenlic.com,,,,,,,,,
923,Collabnyc,"""Professional Makerspace for creatives individuals and companies""",304 Hudson Street,New York,NY,10013,(212) 727-3190,Service,http://Www.Collab.nyc,MANHATTAN,40.726009,-74.007519,2,3,37,1009742,1005790047,SoHo-TriBeCa-Civic Center-Little Italy                                     
924,Angie's Grocery,Deli,97 4th Avenue,Brooklyn,NY,11217,(718) 230-8282,Food and Beverage,http://www.facebook.com/angiesdelicorp,BROOKLYN ,40.681314,-73.98039,6,39,12901,3018640,3009340001,Park Slope-Gowanus                                                         
925,Boon by Moldova Restaurant,Eastern European Restaurant,43-45 40th Street,Sunnyside,NY,11104,(347) 531-0275,Food and Beverage,https://m.facebook.com/boonbymoldova/,QUEENS   ,40.744813,-73.924051,2,26,18101,4002473,4001890005,Hunters Point-Sunnyside-West Maspeth                                       
926,Close Out Heaven,Discount Store,768 Flatbush Ave,Brooklyn,NY,11226,(718) 826-3366,Retail,,BROOKLYN ,40.654155,-73.959574,14,40,50803,3116174,3050630048,Flatbush                                                                   
927,ONieals,Restaurant/bar,174 Grand Street,New York,NY,10013,(212) 941-9119,Food and Beverage,http://onieals.com/,MANHATTAN,40.71955,-73.99794,2,1,41,1006973,1004710028,SoHo-TriBeCa-Civic Center-Little Italy                                     
928,Sunnyside Florist,Flower shop,4005 Queens Blvd,Sunnyside,NY,11104,(718) 784-8226,Retail,http://www.sunnysidefloristny.com/,QUEENS   ,40.743797,-73.924092,2,26,18101,4002473,4001890005,Hunters Point-Sunnyside-West Maspeth                                       
975,Strand Bookstore,Bookstore,828 Broadway,New York,NY,10003,,Retail,http://www.strandbooks.com/,MANHATTAN,40.733403,-73.991059,2,2,61,1009208,1005640034,West Village                                                               
929,9J,"""Innovative boutique/gallery featuring urban-style men, women's clothing & art""",41 Bruckner Blvd,Bronx,NY,10454,,Retail,"https://www.instagram.com/9jbx/?hl=en ,     https://www.facebook.com/9jsouthbronx/",BRONX    ,40.806695,-73.927116,1,8,19,2000577,2022960056,Mott Haven-Port Morris                                                     
930,Dog and Duck,Local restaurant,45-20 Skillman Avenue,Sunnyside,NY,11104,(718) 406-9048,Food and Beverage,http://thedogandduckny.com/,QUEENS   ,40.746634,-73.918672,2,26,183,4001744,4001560029,Hunters Point-Sunnyside-West Maspeth                                       
931,Patsy's Italian Restaurant,"""Family owned-and-operated by the Scognamillo family since 1944""",236 West 56th Street,New York,NY,10019,(212) 247-3491,Food and Beverage,http://www.patsys.com,MANHATTAN,40.765625,-73.982398,5,3,137,1024883,1010270057,Midtown-Midtown South                                                      
932,I Fortune Cookie,Chinese Food,44-69 21st Street,Long Island City,NY,11101,(718) 786-4821,Food and Beverage,http://www.fortunecookielongislandcity.com/aboutus.aspx,QUEENS   ,40.747774,-73.947456,2,26,7,4000665,4000780054,Hunters Point-Sunnyside-West Maspeth                                       
